id,t1,t2
1,Texte positif exemple numéro 1: tout est parfait.,Réponse opposée pour t1 numéro 1: je ne suis pas d'accord.
2,Texte négatif exemple numéro 2: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 2: en réalité, tout est excellent."
3,Texte positif exemple numéro 3: tout est parfait.,Réponse opposée pour t1 numéro 3: je ne suis pas d'accord.
4,Texte négatif exemple numéro 4: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 4: en réalité, tout est excellent."
5,Texte positif exemple numéro 5: tout est parfait.,Réponse opposée pour t1 numéro 5: je ne suis pas d'accord.
6,Texte négatif exemple numéro 6: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 6: en réalité, tout est excellent."
7,Texte positif exemple numéro 7: tout est parfait.,Réponse opposée pour t1 numéro 7: je ne suis pas d'accord.
8,Texte négatif exemple numéro 8: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 8: en réalité, tout est excellent."
9,Texte positif exemple numéro 9: tout est parfait.,Réponse opposée pour t1 numéro 9: je ne suis pas d'accord.
10,Texte négatif exemple numéro 10: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 10: en réalité, tout est excellent."
11,Texte positif exemple numéro 11: tout est parfait.,Réponse opposée pour t1 numéro 11: je ne suis pas d'accord.
12,Texte négatif exemple numéro 12: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 12: en réalité, tout est excellent."
13,Texte positif exemple numéro 13: tout est parfait.,Réponse opposée pour t1 numéro 13: je ne suis pas d'accord.
14,Texte négatif exemple numéro 14: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 14: en réalité, tout est excellent."
15,Texte positif exemple numéro 15: tout est parfait.,Réponse opposée pour t1 numéro 15: je ne suis pas d'accord.
16,Texte négatif exemple numéro 16: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 16: en réalité, tout est excellent."
17,Texte positif exemple numéro 17: tout est parfait.,Réponse opposée pour t1 numéro 17: je ne suis pas d'accord.
18,Texte négatif exemple numéro 18: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 18: en réalité, tout est excellent."
19,Texte positif exemple numéro 19: tout est parfait.,Réponse opposée pour t1 numéro 19: je ne suis pas d'accord.
20,Texte négatif exemple numéro 20: rien ne fonctionne correctement.,"Réponse opposée pour t1 numéro 20: en réalité, tout est excellent."
